document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
MCD_FQ1_2026,MCD,2026-05-07,2026-05-07,283.7,0.004582,-0.028023,-0.03123,-0.030772,0.001692,3e-06,-0.036279,-0.040252,-0.053449,-0.013535,20260811_201225
MCD_FQ4_2024,MCD,2025-02-10,2025-02-10,308.42,-0.003405,0.005804,0.005188,-0.01164,0.007457,0.000398,0.005043,-0.00288,-0.022618,0.024999,20260811_201225
MCD_FQ4_2025,MCD,2026-02-11,2026-02-11,323.21,0.020482,0.027443,0.013644,0.012066,0.035024,0.017187,0.042892,0.02681,0.022876,0.038868,20260811_201225
