document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
GIS_FQ2_2026,GIS,2025-12-17,2025-12-17,48.61,-0.002674,0.002057,-0.024892,-0.033121,-0.059453,-0.011909,-0.005494,-0.044895,-0.06139,-0.076983,20260811_201225
GIS_FQ3_2026,GIS,2026-03-18,2026-03-18,37.59,-0.00133,-0.002394,-0.006119,-0.037776,-0.010109,0.005413,7e-05,0.003028,-0.030806,-0.000751,20260811_201225
GIS_FQ4_2026,GIS,2026-07-01,2026-07-01,37.77,0.006089,-0.005295,-0.017739,-0.050834,0.024623,0.00389,-0.003981,-0.020354,-0.058813,0.017972,20260811_201225
