document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
JNJ_FQ1_2025,JNJ,2025-04-14,2025-04-14,154.36,0.008681,-0.004794,0.020148,0.021962,0.010041,0.007661,-0.001993,0.043723,0.043979,-0.018153,20260811_201225
JNJ_FQ2_2025,JNJ,2025-07-15,2025-07-15,155.17,0.033061,0.061932,0.054972,0.082232,0.083392,0.030489,0.058589,0.046228,0.071431,0.062304,20260811_201225
JNJ_FQ3_2025,JNJ,2025-10-13,2025-10-13,190.9,0.010581,-0.000262,0.006391,0.014772,-0.003143,0.019435,0.00096,0.01001,0.002314,-0.036625,20260811_201225
