document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
V_FQ1_2025,V,2025-04-28,2025-04-28,337.51,0.002933,0.011881,0.014637,0.032977,0.054339,0.006455,0.005582,0.000803,0.009994,-0.004007,20260811_201225
V_FQ1_2026,V,2026-04-28,2026-04-28,309.3,0.087617,0.082638,0.060556,0.041157,0.055351,0.088587,0.082793,0.047966,0.024184,0.01813,20260811_201225
V_FQ2_2025,V,2025-07-29,2025-07-29,351.29,0.001167,-0.001082,-0.033989,-0.039455,-0.041419,0.000128,0.000178,-0.012675,-0.027979,-0.053115,20260811_201225
V_FQ3_2025,V,2025-10-28,2025-10-28,346.9,-0.002594,-0.016201,-0.017757,-0.019026,-0.023004,-0.00501,-0.016681,-0.01048,-0.001822,-0.017094,20260811_201225
