document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
SCHW_FQ1_2025,SCHW,2025-04-16,2025-04-16,75.7,0.026024,0.005945,0.011625,0.048613,0.07675,0.022257,0.004518,0.0086,0.008606,0.014334,20260811_201225
SCHW_FQ1_2026,SCHW,2026-04-15,2026-04-15,100.27,-0.044979,-0.076294,-0.071008,-0.085369,-0.090855,-0.046579,-0.078751,-0.083552,-0.101471,-0.107485,20260811_201225
SCHW_FQ2_2025,SCHW,2025-07-17,2025-07-17,93.1,0.027927,0.029001,0.024597,0.03652,0.049732,0.025921,0.029733,0.023292,0.026361,0.043299,20260811_201225
SCHW_FQ3_2025,SCHW,2025-10-15,2025-10-15,94.33,0.004664,-0.009753,0.006573,-0.000212,0.002968,0.002184,-0.002943,-0.002643,-0.004166,-0.030437,20260811_201225
SCHW_FQ4_2025,SCHW,2026-01-20,2026-01-20,100.99,0.003367,0.007922,0.011783,0.027032,0.027131,0.000312,-0.003619,-0.00541,0.0006,0.009495,20260811_201225
