document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
JPM_FQ1_2025,JPM,2025-04-10,2025-04-10,227.11,-0.003523,0.040025,0.026507,0.021355,0.072388,-0.00053,0.022182,0.001668,0.017867,0.02271,20260811_201225
JPM_FQ1_2026,JPM,2026-04-14,2026-04-14,311.12,0.009096,-0.016682,-0.002668,0.006043,0.001061,0.007944,-0.024573,-0.025246,-0.00781,-0.02375,20260811_201225
JPM_FQ2_2025,JPM,2025-07-15,2025-07-15,286.55,0.006456,-0.002547,0.016472,0.01703,0.036608,0.003884,-0.005891,0.007728,0.006229,0.01552,20260811_201225
JPM_FQ3_2025,JPM,2025-10-14,2025-10-14,302.08,0.014268,0.011951,-0.014963,-0.016519,0.010858,0.007337,0.007511,-0.018225,-0.0302,-0.026637,20260811_201225
JPM_FQ4_2025,JPM,2026-01-13,2026-01-13,310.9,-0.008684,-0.009746,0.00505,-0.028498,-0.032583,-0.004692,-0.004831,0.008091,-0.016433,-0.034961,20260811_201225
