document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
SBUX_FQ1_2026,SBUX,2026-01-27,2026-01-27,95.72,0.068742,-0.00585,-0.039386,-0.027998,0.018909,0.066499,-0.00575,-0.034325,-0.019429,0.023755,20260811_201225
SBUX_FQ3_2025,SBUX,2025-07-29,2025-07-29,92.96,0.052388,-0.002151,-0.06562,-0.02969,0.004411,0.051349,-0.000892,-0.044305,-0.018215,-0.007285,20260811_201225
SBUX_FQ4_2025,SBUX,2025-10-29,2025-10-29,84.17,-0.023049,-0.012118,-0.038137,-0.015326,0.036711,-0.017971,-0.00112,-0.032245,-0.001055,0.042545,20260811_201225
