document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
BAC_FQ1_2025,BAC,2025-04-15,2025-04-15,37.99,-0.003422,-0.017373,-0.028165,0.020005,0.04975,0.007608,0.004855,0.015974,0.024079,0.018259,20260811_201225
BAC_FQ2_2025,BAC,2025-07-15,2025-07-15,46.15,0.002167,-0.0026,0.025352,0.035103,0.039003,-0.000405,-0.005944,0.016608,0.024302,0.017915,20260811_201225
BAC_FQ3_2025,BAC,2025-10-14,2025-10-14,50.09,0.029547,0.043721,0.023757,0.028549,0.0555,0.022616,0.039282,0.020495,0.014868,0.018006,20260811_201225
BAC_FQ4_2025,BAC,2026-01-13,2026-01-13,54.54,-0.030436,-0.03777,-0.028786,-0.045288,-0.050055,-0.026444,-0.032855,-0.025745,-0.033223,-0.052433,20260811_201225
