document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
LMT_FQ1_2025,LMT,2025-04-22,2025-04-22,462.08,0.010648,0.003181,0.033674,0.029865,0.013266,-0.01435,-0.012314,-0.010688,-0.021477,-0.046573,20260812_152807,1,YES
LMT_FQ2_2025,LMT,2025-07-22,2025-07-22,410.74,0.007353,0.02106,0.025393,0.022861,0.042606,0.003075,0.012552,0.01229,0.012684,0.044021,20260812_152807,1,YES
LMT_FQ3_2025,LMT,2025-10-21,2025-10-21,489.5,0.004025,-0.004821,-0.008355,-0.00762,-0.009234,0.002967,0.000378,-0.017234,-0.031112,-0.015118,20260812_152807,1,YES
LMT_FQ4_2025,LMT,2026-01-29,2026-01-29,622.51,-0.002426,0.018811,0.009237,-0.021413,0.023967,0.000816,0.021793,0.015735,0.002245,0.042367,20260812_152807,1,YES
