document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
C_FQ1_2025,C,2025-04-15,2025-04-15,64.33,-0.019742,-0.034665,-0.025494,0.030623,0.062957,-0.008712,-0.012437,0.018646,0.034697,0.031465,20260811_201225
C_FQ2_2025,C,2025-07-15,2025-07-15,90.72,0.008377,-0.007716,0.030093,0.036155,0.041446,0.005806,-0.011059,0.021349,0.025354,0.020358,20260811_201225
C_FQ3_2025,C,2025-10-14,2025-10-14,99.84,0.013522,-0.000601,-0.027744,-0.015925,0.015525,0.006591,-0.00504,-0.031006,-0.029606,-0.02197,20260811_201225
C_FQ4_2025,C,2026-01-14,2026-01-14,112.41,0.01281,0.044925,0.003469,0.028912,0.02482,0.006712,0.042202,0.021981,0.030911,0.019489,20260811_201225
