document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
LIN_FQ1_2026,LIN,2026-05-01,2026-05-01,507.92,-0.008545,-0.028292,-0.011911,-0.02906,-0.003564,-0.00774,-0.024629,-0.0302,-0.052608,-0.029263,20260811_201225
LIN_FQ2_2025,LIN,2025-08-01,2025-08-01,459.41,0.000979,0.017392,0.026273,0.028319,0.044992,-0.005374,0.002192,0.008483,0.003452,0.010057,20260811_201225
LIN_FQ3_2025,LIN,2025-10-31,2025-10-31,418.3,0.009443,-0.014631,-0.000167,0.005283,0.012168,0.00415,-0.016507,0.006401,0.021543,0.02702,20260811_201225
