document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id
PFE_FQ1_2025,PFE,2025-04-28,2025-04-28,23.05,-0.009544,0.032104,0.038178,0.035575,0.001735,-0.006023,0.025805,0.024345,0.012592,-0.056611,20260811_201225
PFE_FQ1_2026,PFE,2026-05-04,2026-05-04,26.3,0.011027,0.005703,0.006844,-0.018631,-0.036882,0.00579,-0.002319,-0.012055,-0.048283,-0.065628,20260811_201225
PFE_FQ2_2025,PFE,2025-08-04,2025-08-04,23.53,0.031449,0.051849,0.029749,0.044624,0.065448,0.030467,0.056919,0.028038,0.037098,0.04623,20260811_201225
PFE_FQ4_2025,PFE,2026-02-02,2026-02-02,26.66,-0.048762,-0.033383,-0.006377,0.014629,0.026632,-0.049913,-0.024928,0.019205,0.016728,0.044693,20260811_201225
