window_idx,train_cutoff,test_start,test_end,fitted_upper,fitted_lower,train_n,train_trades,train_mean_net_pct,train_accuracy,train_n_graded,test_n,test_trades,test_mean_net_pct,test_accuracy,test_n_graded,test_n_correct
0,2025-09-30,2025-10-09,2025-12-18,0.35,-0.5,99,5,8.4805,1.0,2,47,8,1.5424,0.5,4,2
1,2025-12-31,2026-01-13,2026-03-19,0.45,-0.5,146,7,6.9514,0.75,4,50,0,0.0,,0,0
2,2026-03-31,2026-04-13,2026-06-23,0.45,-0.5,196,7,6.9514,0.75,4,34,0,0.0,,0,0
3,2026-06-30,2026-07-01,2026-07-14,0.45,-0.5,230,7,6.9514,0.75,4,3,0,0.0,,0,0
