# Extension 2: holding-period curve
# run_id: 20260820_020202
# model: DeepSeek (blend weights (0.8, 0.2, 0.0, 0.0))
# thresholds: hold_upper=0.2, hold_lower=-0.1
# cost_bps: 10.0, short_borrow_bps: 0.0
# clean_n: 233 (excluded: {'worksheet': 25, 'misattributed': 1, 'timing': 9})
# generated: 2026-08-20 11:03:06
# NOTE: overnight band (+/-2%) is PRE-REGISTERED and fixed.
#       All longer-horizon bands are RECALIBRATED and secondary.
#       Returns are NOT compounded across horizons; each is an
#       alternative version of the same trade.
horizon,mean_net_per_trade,accuracy,graded_n,traded_n,rank_correlation,rho_pvalue,bootstrap_ci_low,bootstrap_ci_high,hold_band,band_status
overnight,0.017976153846153843,0.6272727272727273,110,169,0.2569061161987801,7.272142811926196e-05,0.010044342307692309,0.02626807100591716,0.02,pre-registered
1d,0.011611958579881655,0.5964912280701754,114,169,0.19419761631825255,0.002913249775234786,0.00291478402366864,0.020628686390532544,0.022497,recalibrated
3d,0.008113970414201182,0.5263157894736842,114,169,0.1344150893202357,0.04036100859742262,-0.0010146674556213019,0.01762293816568047,0.025207,recalibrated
5d,0.009084201183431954,0.514018691588785,107,169,0.09569386284817946,0.14533969919263043,-0.0008379100591715995,0.01937209674556211,0.027189,recalibrated
10d,0.014262000000000002,0.5701754385964912,114,169,0.09404495068256147,0.15243398716628145,0.00246984526627219,0.026493500295857987,0.035159,recalibrated
